systematic_name,bp,mf
YBR017C,protein-nucleus import*,nuclear localization sequence binding
YPR142C,NA,NA
YAL033W,rRNA processing*,ribonuclease P activity*
YOR051C,biological process unknown,molecular function unknown
YJR062C,protein catabolism*,protein N-terminal asparagine amidohydrolase activity
YGL051W,vesicle organization and biogenesis,protein binding
YGR078C,tubulin folding,tubulin binding
YHR064C,protein biosynthesis,unfolded protein binding
YHL011C,histidine biosynthesis*,ribose phosphate diphosphokinase activity
YNL261W,DNA replication initiation*,ATPase activity*
YER049W,biological process unknown,molecular function unknown
YHR046C,inositol phosphate dephosphorylation,inositol-1(or 4)-monophosphatase activity
YDR400W,pyrimidine salvage*,uridine nucleosidase activity
YOL094C,mismatch repair*,DNA clamp loader activity*
YKL114C,DNA repair*,DNA-(apurinic or apyrimidinic site) lyase activity
YOR168W,glutaminyl-tRNA aminoacylation,glutamine-tRNA ligase activity
YOR125C,ubiquinone metabolism,molecular function unknown
YPL129W,chromatin remodeling*,general RNA polymerase II transcription factor activity
YDR252W,nascent polypeptide association,unfolded protein binding
YHR060W,protein complex assembly*,unfolded protein binding
YPR168W,transcription from RNA polymerase II promoter,RNA polymerase II transcription mediator activity
YGR276C,DNA replication*,3'-5' exonuclease activity
YOR296W,biological process unknown,molecular function unknown
YBR111C,biological process unknown,phosphoribosyl-ATP diphosphatase activity
YLR250W,protein secretion,molecular function unknown
YBR013C,biological process unknown,molecular function unknown
YBR012C,NA,NA
YPL239W,response to osmotic stress*,molecular function unknown
YBR193C,transcription from RNA polymerase II promoter,RNA polymerase II transcription mediator activity
YIL139C,DNA repair*,zeta DNA polymerase activity
YKR080W,one-carbon compound metabolism*,methylenetetrahydrofolate dehydrogenase (NAD+) activity
YBL093C,transcription from RNA polymerase II promoter,RNA polymerase II transcription mediator activity
YBR276C,protein amino acid dephosphorylation*,protein tyrosine/threonine phosphatase activity
YMR168C,mitotic spindle checkpoint,DNA bending activity*
YHR155W,biological process unknown,molecular function unknown
YKL210W,ubiquitin cycle,ubiquitin activating enzyme activity
Q0085,protein complex assembly*,structural molecule activity*
YDR221W,biological process unknown,molecular function unknown
YNL139C,mRNA-nucleus export*,DNA binding*
YGR157W,phosphatidylcholine biosynthesis,phosphatidylethanolamine N-methyltransferase activity
YJL094C,monovalent inorganic cation transport,potassium:hydrogen antiporter activity
YPR159W,cell wall organization and biogenesis*,glucosidase activity
YIL030C,ER-associated protein catabolism,ubiquitin-protein ligase activity
YIL048W,"retrograde transport, Golgi to ER*",phospholipid-translocating ATPase activity*
YLR371W,cell wall organization and biogenesis*,signal transducer activity*
YPL006W,sphingolipid metabolism,sphingolipid transporter activity
YPR022C,biological process unknown,molecular function unknown
YER140W,biological process unknown,molecular function unknown
YOR242C,spore wall assembly (sensu Fungi),molecular function unknown
YIR008C,DNA replication initiation*,alpha DNA polymerase activity
YNL312W,DNA recombination*,DNA binding
YGL112C,transcription initiation from RNA polymerase II promoter*,general RNA polymerase II transcription factor activity
YER038C,biological process unknown,molecular function unknown
YDR311W,transcription initiation from RNA polymerase II promoter*,general RNA polymerase II transcription factor activity
YGR175C,ergosterol biosynthesis,squalene monooxygenase activity*
YML103C,mRNA-nucleus export*,structural molecule activity
YBR008C,response to toxin,multidrug transporter activity
YDR279W,DNA replication,ribonuclease H activity
YNL040W,biological process unknown,molecular function unknown
YMR001C,protein amino acid phosphorylation*,protein serine/threonine kinase activity
YMR144W,biological process unknown,molecular function unknown
YMR117C,chromosome segregation*,structural constituent of cytoskeleton
YPR031W,biological process unknown,molecular function unknown
YDL074C,chromatin silencing at telomere*,ubiquitin-protein ligase activity
YDR314C,biological process unknown,molecular function unknown
YDR198C,biological process unknown,molecular function unknown
YPR162C,DNA replication initiation*,DNA replication origin binding
YNL256W,folic acid and derivative biosynthesis,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity*
YJL101C,response to cadmium ion*,glutamate-cysteine ligase activity
YEL072W,biological process unknown,molecular function unknown
YBR281C,biological process unknown,molecular function unknown
YDR254W,chromosome segregation,DNA binding
YGL151W,regulation of transcription from RNA polymerase II promoter,molecular function unknown
YDR292C,protein-ER targeting*,GTPase activity*
YHR084W,pseudohyphal growth*,transcription factor activity
YDL090C,protein amino acid farnesylation,protein farnesyltransferase activity
YKR055W,actin filament organization*,GTPase activity*
YGR199W,protein amino acid O-linked glycosylation,dolichyl-phosphate-mannose-protein mannosyltransferase activity
YLR343W,biological process unknown,"1,3-beta-glucanosyltransferase activity"
YDR227W,double-strand break repair via nonhomologous end-joining*,histone binding*
YDL218W,biological process unknown,molecular function unknown
YJL045W,cellular respiration,succinate dehydrogenase (ubiquinone) activity
YJL130C,'de novo' pyrimidine base biosynthesis*,aspartate carbamoyltransferase activity
YOR034C,endocytosis,molecular function unknown
YJR106W,cell wall organization and biogenesis,molecular function unknown
YNL048W,protein amino acid glycosylation,"alpha-1,2-mannosyltransferase activity"
YPR097W,biological process unknown,molecular function unknown
YJL087C,tRNA splicing*,RNA ligase (ATP) activity
YDR217C,DNA repair*,protein binding
YBR098W,DNA repair*,transcription coactivator activity*
YPR045C,biological process unknown,molecular function unknown
YER111C,G1/S transition of mitotic cell cycle*,transcription factor activity
YMR216C,response to drug*,protein kinase activity
YOR372C,G2/M-specific transcription in mitotic cell cycle,transcriptional activator activity
YGL075C,spindle pole body duplication in nuclear envelope*,structural constituent of cytoskeleton
YPL269W,"nuclear migration, microtubule-mediated",molecular function unknown
YER136W,vesicle-mediated transport,Rab GDP-dissociation inhibitor activity
YNL311C,ubiquitin-dependent protein catabolism,protein binding
YDR034C,lysine biosynthesis via aminoadipic acid,transcriptional activator activity
YNL267W,sporulation (sensu Fungi)*,1-phosphatidylinositol 4-kinase activity
YGL204C,NA,NA
YPR172W,biological process unknown,molecular function unknown
YJR012C,NA,NA
YPL202C,transcription initiation from RNA polymerase II promoter*,transcription factor activity*
YPR149W,protein secretion,molecular function unknown
YMR149W,protein amino acid N-linked glycosylation,dolichyl-diphosphooligosaccharide-protein glycotransferase activity
YDR304C,biological process unknown,peptidyl-prolyl cis-trans isomerase activity
YML080W,tRNA modification,tRNA dihydrouridine synthase activity
YDR365C,rRNA processing,RNA binding
YER186C,biological process unknown,molecular function unknown
YPL011C,transcription initiation from RNA polymerase II promoter*,general RNA polymerase II transcription factor activity
YGR129W,"nuclear mRNA splicing, via spliceosome*","RNA splicing factor activity, transesterification mechanism"
YDR513W,response to oxidative stress*,thiol-disulfide exchange intermediate activity*
YMR232W,regulation of termination of mating projection growth*,molecular function unknown
YHR001W,steroid biosynthesis,oxysterol binding
YGR278W,"nuclear mRNA splicing, via spliceosome",molecular function unknown
YBR163W,biological process unknown,molecular function unknown
YMR233W,biological process unknown,molecular function unknown
YPR025C,transcription initiation from RNA polymerase II promoter*,general RNA polymerase II transcription factor activity*
YNL217W,biological process unknown,phosphoric monoester hydrolase activity
YDL085C-A,biological process unknown,molecular function unknown
YKL144C,transcription from RNA polymerase III promoter,DNA-directed RNA polymerase activity
YLR386W,vacuole inheritance*,enzyme activator activity
YIL111W,"mitochondrial electron transport, cytochrome c to oxygen*",cytochrome-c oxidase activity
YMR179W,regulation of transcription from RNA polymerase II promoter,molecular function unknown
YOR033C,mismatch repair,5'-flap endonuclease activity*
YKL047W,biological process unknown,molecular function unknown
YDL139C,biological process unknown,molecular function unknown
YER153C,protein biosynthesis,translation regulator activity
YKL152C,glycolysis*,phosphoglycerate mutase activity
YGR079W,biological process unknown,molecular function unknown
YNL099C,response to oxidative stress,protein tyrosine phosphatase activity
YPR013C,biological process unknown,molecular function unknown
YDR478W,rRNA processing,ribonuclease MRP activity
YDR452W,polyphosphate metabolism,endopolyphosphatase activity
YDR155C,sporulation (sensu Fungi)*,peptidyl-prolyl cis-trans isomerase activity
YLR249W,translational elongation,translation elongation factor activity
YGR240C,glycolysis,6-phosphofructokinase activity
YAL038W,glycolysis*,pyruvate kinase activity
YDR050C,glycolysis,triose-phosphate isomerase activity
YOR344C,transcription*,transcription factor activity
YDR481C,protein amino acid dephosphorylation*,alkaline phosphatase activity
YGL038C,protein amino acid N-linked glycosylation,"transferase activity, transferring glycosyl groups*"
YGL032C,agglutination during conjugation with cellular fusion,cell adhesion molecule binding
YMR266W,biological process unknown,molecular function unknown
YMR195W,biological process unknown,molecular function unknown
YBR028C,biological process unknown,protein kinase activity
YBR296C,phosphate transport,sodium:inorganic phosphate symporter activity
YBR093C,phosphate metabolism*,acid phosphatase activity
YHR215W,biological process unknown,acid phosphatase activity
YAR071W,phosphate metabolism,acid phosphatase activity
YCR098C,glycerophosphodiester transport,glycerophosphodiester transporter activity
YJL117W,protein folding*,molecular function unknown
YOL130W,magnesium ion transport*,"di-, tri-valent inorganic cation transporter activity"
YHR211W,flocculation (sensu Saccharomyces),mannose binding
YFL004W,"vacuole fusion, non-autophagic*",molecular function unknown
YDR017C,response to stress*,inositol or phosphatidylinositol kinase activity
YLR410W,actin cytoskeleton organization and biogenesis,molecular function unknown
YGR233C,phosphate metabolism,cyclin-dependent protein kinase inhibitor activity
YDR281C,biological process unknown,molecular function unknown
YJL012C,"vacuole fusion, non-autophagic",molecular function unknown
YJL012C-A,NA,NA
YPL019C,"vacuole fusion, non-autophagic",molecular function unknown
YER072W,"vacuole fusion, non-autophagic",molecular function unknown
YOR163W,diadenosine polyphosphate metabolism,diphosphoinositol-polyphosphate diphosphatase activity
YPL110C,biological process unknown,molecular function unknown
YDR483W,protein amino acid O-linked glycosylation*,"alpha-1,2-mannosyltransferase activity"
YMR231W,late endosome to vacuole transport*,molecular function unknown
YDR005C,negative regulation of transcription from RNA polymerase III promoter,molecular function unknown
YJL056C,regulation of transcription from RNA polymerase II promoter*,DNA binding*
YNL323W,cell surface receptor linked signal transduction,transcription regulator activity
YKL073W,response to unfolded protein*,unfolded protein binding
YOR336W,"beta-1,6 glucan biosynthesis",UDP-glucose:glycoprotein glucosyltransferase activity
YGR281W,transport*,xenobiotic-transporting ATPase activity
YLR138W,monovalent inorganic cation homeostasis,cation:cation antiporter activity*
YDR238C,ER to Golgi transport,molecular function unknown
YOR086C,biological process unknown,lipid binding
YOL154W,biological process unknown,molecular function unknown
YDL209C,"nuclear mRNA splicing, via spliceosome",molecular function unknown
YHR007C,ergosterol biosynthesis,sterol 14-demethylase activity
YGR060W,ergosterol biosynthesis,C-4 methylsterol oxidase activity
YOL017W,chromatin silencing,molecular function unknown
YKL045W,DNA replication initiation*,alpha DNA polymerase activity
YKL072W,biological process unknown,molecular function unknown
YDR458C,biological process unknown,molecular function unknown
YPL124W,microtubule nucleation*,structural constituent of cytoskeleton
YEL061C,mitotic sister chromatid segregation*,microtubule motor activity
YNL225C,microtubule nucleation*,structural constituent of cytoskeleton
YLR148W,late endosome to vacuole transport*,protein binding
YKR063C,establishment of cell polarity (sensu Fungi)*,molecular function unknown
YDR346C,response to oxidative stress,molecular function unknown
YFR002W,mRNA-nucleus export*,structural molecule activity
YDR089W,membrane organization and biogenesis,molecular function unknown
YML104C,mitochondrion organization and biogenesis*,structural constituent of cytoskeleton
YML034W,mitotic sister chromatid segregation,molecular function unknown
YML065W,DNA replication initiation*,ATPase activity*
YNL088W,meiotic recombination*,DNA topoisomerase (ATP-hydrolyzing) activity
YJL074C,sporulation (sensu Fungi)*,ATPase activity
YMR076C,mitotic sister chromatid cohesion*,structural molecule activity
YBR049C,regulation of transcription from RNA polymerase II promoter*,RNA polymerase II transcription factor activity*
YGR188C,protein amino acid phosphorylation*,protein binding*
YLR383W,DNA repair*,molecular function unknown
YGR140W,chromosome segregation,DNA bending activity*
YNL082W,meiosis*,DNA binding*
YOR144C,DNA replication*,molecular function unknown
YOR165W,membrane organization and biogenesis,molecular function unknown
YPR186C,transcription initiation from RNA polymerase III promoter,RNA polymerase III transcription factor activity
YGR089W,chromosome segregation,molecular function unknown
YLR457C,biological process unknown,molecular function unknown
YGL145W,"retrograde transport, Golgi to ER",molecular function unknown
YOL069W,chromosome segregation*,structural constituent of cytoskeleton
YNL031C,chromatin assembly or disassembly,DNA binding
YBR010W,chromatin assembly or disassembly,DNA binding
YBR009C,chromatin assembly or disassembly,DNA binding
YBL003C,DNA repair*,DNA binding
YNL087W,biological process unknown,molecular function unknown
YHR031C,mitochondrial genome maintenance*,DNA helicase activity*
YER001W,protein amino acid O-linked glycosylation*,"alpha-1,3-mannosyltransferase activity"
YLR108C,biological process unknown,molecular function unknown
YDR369C,double-strand break repair via nonhomologous end-joining*,protein binding*
YPL095C,biological process unknown,molecular function unknown
YKL140W,lipid metabolism*,lipase activity*
YOL090W,DNA recombination*,ATPase activity*
YGL061C,mitotic spindle organization and biogenesis in nucleus*,structural constituent of cytoskeleton
YPL153C,DNA repair*,protein threonine/tyrosine kinase activity
YDR419W,DNA repair*,eta DNA polymerase activity
YDR206W,telomerase-dependent telomere maintenance,molecular function unknown
YDR533C,biological process unknown,unfolded protein binding*
YNL134C,biological process unknown,alcohol dehydrogenase (NADP+) activity
YGR279C,conjugation with cellular fusion,glucosidase activity
YER122C,ER to Golgi transport*,ARF GTPase activator activity
YDR448W,histone acetylation*,transcription coactivator activity
YNL238W,peptide pheromone maturation,serine-type endopeptidase activity
YOR129C,response to drug*,structural constituent of cytoskeleton
YBL035C,DNA replication initiation*,alpha DNA polymerase activity
YNL273W,mitotic sister chromatid cohesion*,molecular function unknown
YAR007C,DNA recombination*,damaged DNA binding*
YJL129C,potassium ion homeostasis,potassium ion transporter activity
YNR003C,transcription from RNA polymerase III promoter,DNA-directed RNA polymerase activity
YGR134W,regulation of transcription from RNA polymerase II promoter,molecular function unknown
YKR019C,cell wall organization and biogenesis*,molecular function unknown
YLR361C,biological process unknown,molecular function unknown
YKR037C,mitotic spindle organization and biogenesis in nucleus*,structural constituent of cytoskeleton
YDR325W,mitotic sister chromatid segregation*,molecular function unknown
YJL039C,nuclear pore organization and biogenesis,structural constituent of nuclear pore
YER105C,mRNA-nucleus export*,structural molecule activity
YOR256C,biological process unknown,molecular function unknown
YPL164C,meiotic recombination*,molecular function unknown
YPR003C,biological process unknown,molecular function unknown
YNL054W,vacuole inheritance*,enzyme regulator activity
YHR079C,protein amino acid phosphorylation*,protein serine/threonine kinase activity*
YMR162C,intracellular protein transport,phospholipid-translocating ATPase activity
YLR454W,biological process unknown,molecular function unknown
YLL007C,biological process unknown,molecular function unknown
YOR219C,peptide pheromone maturation,aminopeptidase activity
YPL154C,sporulation*,endopeptidase activity*
YOR030W,invasive growth (sensu Saccharomyces)*,molecular function unknown
YLR035C,DNA repair,molecular function unknown
YER045C,transcription initiation from RNA polymerase II promoter,specific RNA polymerase II transcription factor activity
YLL021W,actin filament organization*,cytoskeletal regulatory protein binding
YNL230C,RNA elongation from RNA polymerase II promoter,transcriptional elongation regulator activity
YLR433C,cell wall organization and biogenesis*,calcium-dependent protein serine/threonine phosphatase activity
YGR108W,G2/M transition of mitotic cell cycle*,cyclin-dependent protein kinase regulator activity
YLR213C,biological process unknown,molecular function unknown
YBL006C,cell wall mannoprotein biosynthesis,molecular function unknown
YHL006C,error-free DNA repair,molecular function unknown
YDR294C,sphingolipid metabolism*,sphinganine-1-phosphate aldolase activity
YDR054C,G1/S transition of mitotic cell cycle*,ubiquitin-protein ligase activity*
YLR427W,DNA dealkylation,alkylbase DNA N-glycosylase activity
YER062C,response to osmotic stress*,glycerol-1-phosphatase activity
YOL011W,phosphatidylserine catabolism*,lysophospholipase activity
YHR078W,biological process unknown,molecular function unknown
YIL014W,protein amino acid O-linked glycosylation,"alpha-1,3-mannosyltransferase activity"
YJR025C,NAD biosynthesis,"3-hydroxyanthranilate 3,4-dioxygenase activity"
YMR313C,lipid metabolism,triacylglycerol lipase activity
YJL119C,NA,NA
YDR265W,peroxisome organization and biogenesis,protein binding
YDR264C,endocytosis*,protein-cysteine S-palmitoleyltransferase activity
YDR263C,DNA repair,nuclease activity
YBR240C,positive regulation of transcription from RNA polymerase II promoter*,transcriptional activator activity
YKL178C,signal transduction during conjugation with cellular fusion,mating-type a-factor pheromone receptor activity
YJR005W,vesicle-mediated transport,molecular function unknown
YGL178W,cell wall organization and biogenesis*,mRNA binding
YJL165C,cation homeostasis,protein kinase activity
YNL027W,"regulation of transcription, DNA-dependent*",transcription factor activity
YPR021C,L-aspartate transport*,L-glutamate transporter activity*
YPL057C,sphingolipid biosynthesis*,mannosyltransferase activity*
YIL156W,protein deubiquitination,ubiquitin-specific protease activity
YLR353W,pseudohyphal growth*,molecular function unknown
YGR014W,establishment of cell polarity (sensu Fungi)*,osmosensor activity
YHL009C,regulation of transcription from RNA polymerase II promoter,transcription factor activity
YIL140W,bud site selection*,molecular function unknown
YBR195C,DNA repair*,transcription regulator activity
YFR013W,chromatin remodeling,protein binding
YLL028W,polyamine transport,spermine transporter activity*
YKR010C,DNA topological change,molecular function unknown
YOR233W,biological process unknown,protein kinase activity
YBL008W,regulation of transcription from RNA polymerase II promoter,transcription corepressor activity
YDR164C,vesicle fusion*,SNARE binding
YNL216W,chromatin silencing at telomere*,DNA binding*
YBR235W,biological process unknown,ion transporter activity
YGL201C,DNA replication initiation*,chromatin binding*
YDR097C,mismatch repair,DNA binding*
YBR245C,chromatin remodeling,ATPase activity
YGR180C,DNA replication,ribonucleoside-diphosphate reductase activity
YDL224C,regulation of cell size,RNA binding
YBR286W,vacuolar protein catabolism,aminopeptidase activity
YJL018W,NA,NA
YDR027C,Golgi to vacuole transport*,molecular function unknown
YLR045C,mitotic spindle organization and biogenesis in nucleus*,structural constituent of cytoskeleton*
YPL116W,histone deacetylation,histone deacetylase activity
YOL021C,35S primary transcript processing*,3'-5'-exoribonuclease activity
YMR275C,mitochondrion inheritance*,protein binding*
YML029W,"nuclear mRNA splicing, via spliceosome",molecular function unknown
YGL215W,cell cycle,cyclin-dependent protein kinase regulator activity
YIL075C,ubiquitin-dependent protein catabolism,endopeptidase activity*
YBL069W,protein-membrane targeting,molecular function unknown
YOR347C,pyruvate metabolism,pyruvate kinase activity
YPL163C,response to chemical substance,molecular function unknown
YFR021W,protein-vacuolar targeting*,phosphoinositide binding
YCR069W,biological process unknown,peptidyl-prolyl cis-trans isomerase activity
YJR131W,protein amino acid N-linked glycosylation*,"mannosyl-oligosaccharide 1,2-alpha-mannosidase activity"
YKR050W,potassium ion homeostasis,potassium ion transporter activity
YDR320C,ER organization and biogenesis,protein binding
YML115C,protein amino acid N-linked glycosylation,mannosyltransferase activity
YGR263C,biological process unknown,molecular function unknown
YHR180W,NA,NA
YER008C,cytokinesis*,protein binding
YBR030W,phospholipid metabolism,molecular function unknown
YNL310C,protein folding*,protein binding
YCR086W,DNA replication*,molecular function unknown
YPL083C,tRNA splicing,tRNA-intron endonuclease activity
YOR105W,NA,NA
YPL041C,biological process unknown,molecular function unknown
YLR354C,pentose-phosphate shunt,transaldolase activity
YLL052C,water transport,water channel activity
YLL053C,biological process unknown,molecular function unknown
YDR057W,ER to Golgi transport,protein transporter activity
YLR047C,biological process unknown,"oxidoreductase activity, oxidizing metal ions"
YMR305C,conjugation with cellular fusion,glucosidase activity
YJR073C,phosphatidylcholine biosynthesis,phosphatidyl-N-methylethanolamine N-methyltransferase activity
YIL047C,signal transduction,molecular function unknown
YPL068C,biological process unknown,molecular function unknown
YIL095W,protein amino acid phosphorylation*,protein serine/threonine kinase activity
YNR029C,biological process unknown,molecular function unknown
YGR049W,cell cycle,molecular function unknown
YPR119W,G2/M transition of mitotic cell cycle*,cyclin-dependent protein kinase regulator activity
YOR073W,mitotic sister chromatid segregation*,molecular function unknown
YOR026W,mitotic spindle checkpoint,molecular function unknown
YER016W,microtubule nucleation*,structural constituent of cytoskeleton
YMR033W,chromatin remodeling,general RNA polymerase II transcription factor activity
YMR125W,"nuclear mRNA splicing, via spliceosome*",mRNA binding
YNL244C,translational initiation,translation initiation factor activity
YOR314W,NA,NA
YLR360W,late endosome to vacuole transport,molecular function unknown
YER031C,vesicle-mediated transport*,GTPase activity
YJL168C,"regulation of transcription, DNA-dependent*",histone methyltransferase activity*
YDR029W,NA,NA
YDR230W,NA,NA
YDL172C,NA,NA
YJL064W,NA,NA
YOR331C,NA,NA
YLR076C,NA,NA
YLR062C,NA,NA
YPL197C,NA,NA
YLR198C,NA,NA
YDR008C,NA,NA
YDL050C,NA,NA
YOR378W,biological process unknown,molecular function unknown
YML018C,biological process unknown,molecular function unknown
YHR217C,NA,NA
YEL075W-A,NA,NA
YPR136C,NA,NA
YOL093W,tRNA methylation,tRNA (guanine) methyltransferase activity
YPL235W,regulation of transcription from RNA polymerase II promoter*,ATPase activity
YJL145W,phospholipid transport,phosphatidylinositol transporter activity
YOL086W-A,biological process unknown,molecular function unknown
YCR064C,NA,NA
YBR090C,biological process unknown,molecular function unknown
YGL220W,biological process unknown,molecular function unknown
YGL050W,biological process unknown,molecular function unknown
YMR239C,35S primary transcript processing,ribonuclease III activity
YBR190W,NA,NA
YGL102C,NA,NA
YKR094C,protein biosynthesis*,structural constituent of ribosome*
YFR032C-A,protein biosynthesis,structural constituent of ribosome
YDL184C,protein biosynthesis,structural constituent of ribosome
YDL133C-A,protein biosynthesis,structural constituent of ribosome
YPR099C,NA,NA
YPR044C,NA,NA
YOR079C,manganese ion homeostasis,manganese ion transporter activity
YCL007C,NA,NA
YOR276W,negative regulation of translation,translation regulator activity
YER183C,folic acid and derivative biosynthesis,5-formyltetrahydrofolate cyclo-ligase activity
YNL067W,protein biosynthesis,structural constituent of ribosome
YPR062W,pyrimidine salvage*,cytosine deaminase activity
YJL190C,protein biosynthesis,structural constituent of ribosome
YPL143W,protein biosynthesis,structural constituent of ribosome
YLR412W,biological process unknown,molecular function unknown
YOR305W,biological process unknown,molecular function unknown
YDL118W,NA,NA
YHR197W,35S primary transcript processing*,molecular function unknown
YCL037C,protein biosynthesis,RNA binding
YOR224C,transcription from RNA polymerase II promoter*,DNA-directed RNA polymerase activity
YHR066W,ribosomal large subunit assembly and maintenance*,rRNA binding
YCR087C-A,biological process unknown,molecular function unknown
YDR367W,biological process unknown,molecular function unknown
YDR063W,biological process unknown,molecular function unknown
YNL069C,protein biosynthesis,structural constituent of ribosome*
YIL133C,protein biosynthesis,structural constituent of ribosome*
YGL189C,protein biosynthesis,structural constituent of ribosome
YDL121C,biological process unknown,molecular function unknown
YJR135W-A,mitochondrial inner membrane protein import,protein transporter activity
YGL155W,establishment of cell polarity (sensu Fungi)*,signal transducer activity*
YER127W,rRNA modification*,RNA binding
YDR015C,NA,NA
YKL084W,mitochondrial intermembrane space protein import,molecular function unknown
YNL330C,chromatin silencing at telomere*,histone deacetylase activity
YPL175W,GPI anchor biosynthesis,UDP-glycosyltransferase activity
YDR157W,NA,NA
YIL086C,NA,NA
YER179W,meiosis*,single-stranded DNA binding*
YPL108W,biological process unknown,molecular function unknown
YNR046W,tRNA methylation,tRNA (guanine-N2-)-methyltransferase activity*
YOR282W,NA,NA
YOR139C,NA,NA
YNL308C,ribosome biogenesis,molecular function unknown
YER187W,biological process unknown,molecular function unknown
YIL059C,NA,NA
YHR158C,cellular morphogenesis*,molecular function unknown
YDR205W,zinc ion homeostasis,cation:cation antiporter activity
YKR035C,NA,NA
YMR013W-A,biological process unknown,molecular function unknown
YLR149C-A,NA,NA
YDR484W,Golgi to vacuole transport*,protein binding
YLR226W,mitotic sister chromatid segregation*,cyclin-dependent protein kinase regulator activity
YOL009C,mitochondrion organization and biogenesis*,molecular function unknown
YGL030W,protein biosynthesis*,structural constituent of ribosome
YOR248W,NA,NA
YER039C-A,biological process unknown,molecular function unknown
YHR067W,fatty acid biosynthesis,3-hydroxyacyl-[acyl-carrier protein] dehydratase activity
YHR035W,biological process unknown,molecular function unknown
YKL198C,polyamine transport,protein kinase activity
YFL057C,aldehyde metabolism,aryl-alcohol dehydrogenase activity
YOR353C,cellular morphogenesis during vegetative growth,molecular function unknown
YDL097C,ubiquitin-dependent protein catabolism,structural molecule activity
YGL184C,methionine biosynthesis,cystathionine beta-lyase activity
YDR438W,biological process unknown,molecular function unknown
YHL036W,amino acid transport,L-methionine transporter activity
YKR069W,methionine metabolism*,uroporphyrin-III C-methyltransferase activity
YIR017C,regulation of transcription from RNA polymerase II promoter*,DNA binding*
YDL059C,telomerase-independent telomere maintenance*,protein binding*
YDR253C,sulfur amino acid metabolism,DNA binding*
YKL001C,methionine metabolism*,adenylylsulfate kinase activity
YFL055W,amino acid transport,amino acid transporter activity
YOL164W,biological process unknown,molecular function unknown
YOL162W,transport,transporter activity
YOL163W,transport,transporter activity
YHR176W,protein folding,monooxygenase activity
YLL055W,biological process unknown,ion transporter activity
YJR137C,cell wall organization and biogenesis*,sulfite reductase (NADPH) activity
YIL166C,transport,transporter activity
YLL057C,sulfur metabolism,sulfonate dioxygenase activity
YLL058W,sulfur metabolism,cystathionine gamma-synthase activity
YLL056C,biological process unknown,molecular function unknown
YFL056C,aldehyde metabolism,aryl-alcohol dehydrogenase activity
YJL060W,NAD biosynthesis,arylformamidase activity
YIR042C,biological process unknown,molecular function unknown
YJL212C,sulfur metabolism,oligopeptide transporter activity
YGR155W,cysteine biosynthesis,cystathionine beta-synthase activity
YHR112C,sulfur metabolism,cystathionine beta-lyase activity
YHR101C,cell wall biosynthesis (sensu Fungi),molecular function unknown
YMR009W,methionine salvage,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen"
YGR055W,sulfur amino acid transport,L-methionine porter activity
YNL277W,methionine biosynthesis*,homoserine O-acetyltransferase activity
YLR303W,methionine metabolism*,cysteine synthase activity*
YFR030W,sulfate assimilation,sulfite reductase (NADPH) activity
YBR213W,sulfate assimilation*,ferrochelatase activity*
YAL012W,sulfur amino acid metabolism*,cystathionine gamma-lyase activity
YNL191W,biological process unknown,molecular function unknown
YGL127C,DNA repair*,molecular function unknown
YLR364W,biological process unknown,molecular function unknown
YJR010W,methionine metabolism*,sulfate adenylyltransferase (ATP) activity
YPR167C,methionine metabolism*,phosphoadenylyl-sulfate reductase (thioredoxin) activity
YJR139C,methionine metabolism*,homoserine dehydrogenase activity
YBR293W,basic amino acid transport,multidrug transporter activity*
YIL074C,serine family amino acid biosynthesis,phosphoglycerate dehydrogenase activity
YLR085C,protein-vacuolar targeting*,molecular function unknown
YER042W,response to oxidative stress,protein-methionine-S-oxide reductase activity
YER142C,DNA dealkylation,alkylbase DNA N-glycosylase activity
YDR286C,biological process unknown,molecular function unknown
YGL247W,mRNA-nucleus export*,molecular function unknown
YFR052W,ubiquitin-dependent protein catabolism,endopeptidase activity
YFL017W-A,"nuclear mRNA splicing, via spliceosome","RNA splicing factor activity, transesterification mechanism"
YDR512C,sporulation (sensu Fungi),molecular function unknown
YKL075C,biological process unknown,molecular function unknown
YOR280C,biological process unknown*,serine hydrolase activity
YPL087W,response to heat*,ceramidase activity
YNL107W,chromatin remodeling*,molecular function unknown
YER053C-A,biological process unknown,molecular function unknown
YPR098C,biological process unknown,molecular function unknown
YOL129W,protein-vacuolar targeting,molecular function unknown
YKL193C,chromosome segregation*,enzyme regulator activity*
YPR147C,biological process unknown,molecular function unknown
YDR248C,biological process unknown,molecular function unknown
YGL010W,biological process unknown,molecular function unknown
YKL121W,biological process unknown,molecular function unknown
YKR053C,sphingolipid biosynthesis,sphingosine-1-phosphate phosphatase activity
YJL218W,biological process unknown,acetyltransferase activity
YPL245W,biological process unknown,molecular function unknown
YNL335W,biological process unknown,molecular function unknown
YFL061W,biological process unknown,molecular function unknown
YPR006C,propionate metabolism*,methylisocitrate lyase activity
YOR180C,fatty acid beta-oxidation,dodecenoyl-CoA delta-isomerase activity
YPL147W,fatty acid transport,"ATPase activity, coupled to transmembrane movement of substances"
YKL149C,snoRNA metabolism*,RNA lariat debranching enzyme activity
YDR034W-B,biological process unknown,molecular function unknown
